Ward,SchoolID,DeptID,SchoolShortName,SchoolLongName,GradeCat,CPSPositions,CTUMembers,CTUNetwork,Address,City,State,Zip
1,609809,22311,BRENTANO,Lorenz Brentano Math & Science Academy ES,ES,69,50,04C,2723 N FAIRFIELD AVE,Chicago,Illinois,60647
1,609853,22701,CHASE,Salmon P Chase Elementary School,ES,90,50,04A,2021 N POINT ST,Chicago,Illinois,60647
1,609863,22791,COLUMBUS,Christopher Columbus Elementary School,ES,24,21,05A,1003 N LEAVITT ST,Chicago,Illinois,60622
1,609942,23341,GOETHE,Johann W von Goethe Elementary School,ES,84,55,04C,2236 N ROCKWELL ST,Chicago,Illinois,60647
1,610029,24101,LOZANO,Rodolfo Lozano Bilingual & International Ctr ES,ES,53,29,06A,1501 N GREENVIEW AVE,Chicago,Illinois,60642
1,610107,24791,OTIS,James Otis Elementary School,ES,70,37,06A,525 N ARMOUR ST,Chicago,Illinois,60642
1,610229,25871,PRITZKER,A.N. Pritzker School,ES,58,47,06A,2009 W SCHILLER ST,Chicago,Illinois,60622
1,610520,29101,LASALLE II,LaSalle II Magnet Elementary School,ES,62,48,06A,1148 N HONORE ST,Chicago,Illinois,60622
1,610342,29371,SABIN,Albert R Sabin Elementary Magnet School,ES,50,35,05A,2216 W HIRSCH ST,Chicago,Illinois,60622
1,610313,31261,DE DIEGO,Jose De Diego Elementary Community Academy,ES,80,47,05A,1313 N CLAREMONT AVE,Chicago,Illinois,60622
1,609740,51071,WELLS HS,Wells Community Academy High School,HS,56,37,015,936 N ASHLAND AVE,Chicago,Illinois,60622
1,609759,51091,CLEMENTE HS,Roberto Clemente Community Academy High School,HS,116,66,015,1147 N WESTERN AVE,Chicago,Illinois,60622
1,400051,66141,NOBLE - NOBLE HS,Noble - Noble College Prep,HS,0,0,,1010 N NOBLE ST,Chicago,Illinois,60642
1,400055,66143,NOBLE - RAUNER HS,Noble - Rauner College Prep,HS,0,0,,1337 W OHIO ST,Chicago,Illinois,60642
1,400096,66571,ROWE,Rowe Elementary Charter School,ES,0,0,,1424 N CLEAVER ST,Chicago,Illinois,60642
2,610101,24731,OGDEN ES,William B Ogden Elementary School,ES,173,137,015,24 W WALTON ST,Chicago,Illinois,60610
2,609926,29081,FRANKLIN,Franklin Elementary Fine Arts Center,ES,38,30,04B,225 W EVERGREEN AVE,Chicago,Illinois,60610
3,609819,22411,BURKE,Edmond Burke Elementary School,ES,50,34,09B,5356 S KING DR,Chicago,Illinois,60615
3,609894,23011,DRAKE,John B Drake Elementary School,ES,46,27,09A,2710 S DEARBORN ST,Chicago,Illinois,60616
3,609990,23751,SOUTH LOOP,South Loop Elementary School,ES,82,62,06B,1601 S DEARBORN ST,Chicago,Illinois,60616
3,610110,24811,WELLS ES,Ida B Wells Preparatory Elementary Academy,ES,48,31,09A,249 E 37TH ST,Chicago,Illinois,60653
3,610237,25931,BEETHOVEN,Ludwig Van Beethoven Elementary School,ES,44,23,09A,25 W 47TH ST,Chicago,Illinois,60609
3,610590,26181,BRONZEVILLE CLASSICAL,Bronzeville Classical Elementary School,ES,36,24,09A,8 W ROOT,Chicago,Illinois,60609
3,610276,26251,MOLLISON,Irvin C Mollison Elementary School,ES,43,29,09A,4415 S DR MARTIN L KING JR DR,Chicago,Illinois,60653
3,610345,26541,WOODSON,Carter G Woodson South Elementary School,ES,48,26,09A,4414 S EVANS AVE,Chicago,Illinois,60653
3,610246,29321,BEASLEY,Edward Beasley Elementary Magnet Academic Center,ES,120,81,09B,5255 S STATE ST,Chicago,Illinois,60609
3,610231,32031,NATIONAL TEACHERS,National Teachers Elementary Academy,ES,72,58,AUSL-S,55 W CERMAK RD,Chicago,Illinois,60616
3,609727,46261,PHILLIPS HS,Wendell Phillips Academy High School,HS,73,45,AUSL-S,244 E PERSHING RD,Chicago,Illinois,60653
3,609769,49101,GRAHAM HS,Ray Graham Training Center High School,HS,79,32,014,2347 S WABASH AVE,Chicago,Illinois,60616
3,610380,55161,WILLIAMS HS,Daniel Hale Williams Prep School of Medicine,HS,28,16,017,4934 S WABASH AVE,Chicago,Illinois,60615
3,610381,55191,BRONZEVILLE HS,Bronzeville Scholastic Academy High School,HS,24,16,017,4934 S WABASH AVE,Chicago,Illinois,60615
3,400064,66051,PERSPECTIVES - JOSLIN HS,Perspectives - Rodney D. Joslin,HS,0,0,,1930 S ARCHER AVE,Chicago,Illinois,60616
3,400066,66056,PERSPECTIVES - MATH & SCI HS,Perspectives - Math and Science Academy,HS,0,0,,3663 S WABASH AVE,Chicago,Illinois,60653
3,400124,66107,YCCS - MCKINLEY,YCCS- McKinley Lakeside Leadership HS,HS,2,0,,2920 S WABASH AVE,Chicago,Illinois,60616
3,400145,66629,YCCS - YOUTH CONNECTION,YCCS-Youth Connection Leadership Acad HS,HS,2,10,CTUA2,3424 S STATE ST,Chicago,Illinois,60616
3,609754,70070,CHICAGO MILITARY HS,Chicago Military Academy High School,HS,49,29,017,3519 S GILES AVE,Chicago,Illinois,60653
4,609891,22991,DOOLITTLE,James R Doolittle Jr Elementary School,ES,36,24,09A,535 E 35TH ST,Chicago,Illinois,60616
4,609928,23271,FULLER,Melville W Fuller Elementary School,ES,47,33,AUSL-S,4214 S ST LAWRENCE AVE,Chicago,Illinois,60653
4,609951,23421,ARIEL,Ariel Elementary Community Academy,ES,62,33,09A,1119 E 46TH ST,Chicago,Illinois,60653
4,610143,25091,REAVIS,William C Reavis Math & Science Specialty ES,ES,47,26,09A,834 E 50TH ST,Chicago,Illinois,60615
4,610175,25371,SHOESMITH,Beulah Shoesmith Elementary School,ES,38,21,09B,1330 E 50TH ST,Chicago,Illinois,60615
4,610256,26061,ROBINSON,Jackie Robinson Elementary School,ES,24,17,09A,4225 S LAKE PARK AVE,Chicago,Illinois,60653
4,610126,29251,PERSHING,John J Pershing Elementary Humanities Magnet,ES,55,37,09A,3200 S CALUMET AVE,Chicago,Illinois,60616
4,609751,46371,KING HS,Dr  Martin Luther King  Jr  College Prep HS,HS,91,47,017,4445 S DREXEL BLVD,Chicago,Illinois,60653
4,609678,47021,JONES HS,William Jones College Preparatory High School,HS,172,128,06B,700 S STATE ST,Chicago,Illinois,60605
4,609676,53021,DUNBAR HS,Paul Laurence Dunbar Career Academy High School,HS,67,36,017,3000 S KING DR,Chicago,Illinois,60616
4,400137,63161,LITTLE BLACK PEARL HS,Little Black Pearl Art and Design Academy,HS,1,0,,1060 E 47TH ST,Chicago,Illinois,60653
4,400076,66111,U OF C - NKO,University of Chicago - North Kenwood/Oakland,ES,0,0,,1119 E 46TH ST,Chicago,Illinois,60653
4,400075,66321,U OF C - DONOGHUE,University of Chicago - Donoghue,ES,4,0,,707 E 37TH ST,Chicago,Illinois,60653
4,400105,66442,URBAN PREP - BRONZEVILLE HS,Urban Prep Academy for Young Men - Bronzeville,HS,2,16,CTUA2,521 E 35TH ST,Chicago,Illinois,60616
5,610530,22251,SOUTH SHORE ES,South Shore Fine Arts Academy,ES,63,31,12A,1415 E 70TH ST,Chicago,Illinois,60637
5,609837,22551,CARNEGIE,Andrew Carnegie Elementary School,ES,53,39,09B,1414 E 61ST PL,Chicago,Illinois,60637
5,609969,23561,HARTE,Bret Harte Elementary School,ES,36,27,09B,1556 E 56TH ST,Chicago,Illinois,60637
5,610103,24751,OKEEFFE,Isabelle C O'Keeffe Elementary School,ES,67,52,AUSL-S,6940 S MERRILL AVE,Chicago,Illinois,60649
5,610142,25071,RAY,William H Ray Elementary School,ES,62,49,09B,5631 S KIMBARK AVE,Chicago,Illinois,60637
5,610146,25121,REVERE,Paul Revere Elementary School,ES,32,17,12A,1010 E 72ND ST,Chicago,Illinois,60619
